time,u,y,x1,x2,x3,x4,x5,x6
0.00002,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00022,0.05,0.05,0.01,0.05,0.01,0.05,0.00,0.05
0.00042,0.10,0.13,0.00,0.12,0.00,0.13,0.00,0.13
0.00062,0.14,0.13,-0.00,0.13,0.00,0.13,0.00,0.13
0.00082,0.18,0.18,0.00,0.18,0.00,0.18,0.00,0.18
0.00102,0.22,0.24,-0.00,0.24,0.00,0.24,0.00,0.24
0.00122,0.26,0.24,-0.01,0.24,0.00,0.24,0.00,0.24
0.00142,0.29,0.30,0.00,0.29,0.00,0.30,0.00,0.30
0.00162,0.32,0.35,-0.01,0.34,-0.00,0.35,0.00,0.35
0.00182,0.36,0.34,-0.01,0.34,0.00,0.34,0.00,0.34
0.00202,0.39,0.40,-0.00,0.39,0.00,0.39,0.00,0.40
0.00222,0.42,0.43,-0.01,0.43,-0.00,0.43,-0.00,0.43
0.00242,0.44,0.43,-0.01,0.42,0.00,0.42,0.00,0.43
0.00262,0.47,0.48,-0.00,0.48,0.00,0.48,0.00,0.48
0.00282,0.49,0.51,-0.01,0.50,-0.00,0.51,-0.00,0.51
0.00302,0.52,0.50,-0.01,0.49,0.00,0.50,0.00,0.50
0.00322,0.54,0.56,-0.01,0.55,0.00,0.56,0.00,0.56
0.00342,0.56,0.57,-0.02,0.56,-0.00,0.57,-0.00,0.57
0.00362,0.58,0.57,-0.01,0.56,0.00,0.57,0.00,0.57
0.00382,0.60,0.62,-0.01,0.61,0.00,0.62,0.00,0.62
0.00402,0.62,0.63,-0.02,0.62,-0.00,0.62,-0.00,0.63
0.00422,0.64,0.62,-0.01,0.62,0.00,0.62,0.00,0.62
0.00442,0.66,0.68,-0.01,0.67,0.00,0.67,0.00,0.68
0.00462,0.67,0.67,-0.02,0.66,-0.00,0.67,-0.00,0.67
0.00482,0.69,0.68,-0.01,0.67,0.00,0.67,0.00,0.68
0.00502,0.70,0.72,-0.01,0.71,-0.00,0.72,0.00,0.72
